   Elapsed time	    ECG	    ECG
      (seconds)	   (mV)	   (mV)
          0.000	 -0.010	 -0.020
          0.004	 -0.013	 -0.021
          0.008	 -0.010	 -0.020
          0.012	 -0.011	 -0.018
          0.016	 -0.007	 -0.016
          0.020	 -0.005	 -0.015
          0.024	 -0.006	 -0.015
          0.028	 -0.007	 -0.013
          0.032	 -0.009	 -0.011
          0.036	 -0.007	 -0.007
          0.040	 -0.006	 -0.006
          0.044	 -0.005	 -0.005
          0.048	 -0.003	  0.000
          0.052	 -0.006	  0.014
          0.056	 -0.005	  0.026
          0.060	 -0.003	  0.031
          0.064	  0.000	  0.029
          0.068	  0.000	  0.015
          0.072	  0.003	  0.004
          0.076	  0.009	 -0.004
          0.080	  0.018	 -0.005
          0.084	  0.029	 -0.006
          0.088	  0.037	 -0.009
          0.092	  0.045	 -0.009
          0.096	  0.050	 -0.011
          0.100	  0.054	 -0.011
          0.104	  0.058	 -0.010
          0.108	  0.060	 -0.010
          0.112	  0.062	 -0.010
          0.116	  0.064	 -0.006
          0.120	  0.065	 -0.003
          0.124	  0.066	 -0.003
          0.128	  0.068	  0.001
          0.132	  0.070	  0.006
          0.136	  0.076	  0.007
          0.140	  0.076	  0.004
          0.144	  0.079	  0.000
          0.148	  0.075	 -0.001
          0.152	  0.070	 -0.005
          0.156	  0.060	 -0.007
          0.160	  0.051	 -0.010
          0.164	  0.044	 -0.011
          0.168	  0.033	 -0.011
          0.172	  0.028	 -0.011
          0.176	  0.022	 -0.011
          0.180	  0.022	 -0.011
          0.184	  0.021	 -0.014
          0.188	  0.020	 -0.018
          0.192	  0.020	 -0.018
          0.196	  0.019	 -0.016
          0.200	  0.019	 -0.013
          0.204	  0.019	 -0.011
          0.208	  0.019	 -0.014
          0.212	  0.018	 -0.016
          0.216	  0.019	 -0.019
          0.220	  0.022	 -0.019
          0.224	  0.022	 -0.021
          0.228	  0.025	 -0.022
          0.232	  0.020	 -0.025
          0.236	  0.022	 -0.028
          0.240	  0.024	 -0.033
          0.244	  0.024	 -0.040
          0.248	  0.024	 -0.041
          0.252	  0.024	 -0.043
          0.256	  0.031	 -0.049
          0.260	  0.034	 -0.068
          0.264	  0.043	 -0.111
          0.268	  0.046	 -0.182
          0.272	  0.049	 -0.263
          0.276	  0.048	 -0.318
          0.280	  0.050	 -0.360
          0.284	  0.066	 -0.383
          0.288	  0.077	 -0.398
          0.292	  0.095	 -0.396
          0.296	  0.106	 -0.389
          0.300	  0.120	 -0.375
          0.304	  0.135	 -0.355
          0.308	  0.163	 -0.340
          0.312	  0.190	 -0.319
          0.316	  0.234	 -0.311
          0.320	  0.279	 -0.290
          0.324	  0.310	 -0.260
          0.328	  0.330	 -0.219
          0.332	  0.325	 -0.176
          0.336	  0.325	 -0.128
          0.340	  0.309	 -0.071
          0.344	  0.279	 -0.030
          0.348	  0.207	 -0.009
          0.352	  0.101	  0.005
          0.356	  0.004	  0.016
          0.360	 -0.062	  0.028
          0.364	 -0.083	  0.036
          0.368	 -0.071	  0.040
          0.372	 -0.058	  0.044
          0.376	 -0.049	  0.049
          0.380	 -0.045	  0.052
          0.384	 -0.036	  0.054
          0.388	 -0.025	  0.060
          0.392	 -0.015	  0.064
          0.396	 -0.011	  0.065
          0.400	 -0.011	  0.068
          0.404	 -0.014	  0.068
          0.408	 -0.014	  0.068
          0.412	 -0.015	  0.066
          0.416	 -0.019	  0.068
          0.420	 -0.020	  0.068
          0.424	 -0.020	  0.070
          0.428	 -0.016	  0.071
          0.432	 -0.016	  0.071
          0.436	 -0.011	  0.070
          0.440	 -0.011	  0.069
          0.444	 -0.015	  0.070
          0.448	 -0.016	  0.071
          0.452	 -0.016	  0.074
          0.456	 -0.015	  0.075
          0.460	 -0.018	  0.076
          0.464	 -0.016	  0.079
          0.468	 -0.018	  0.083
          0.472	 -0.016	  0.083
          0.476	 -0.016	  0.081
          0.480	 -0.014	  0.081
          0.484	 -0.016	  0.079
          0.488	 -0.015	  0.077
          0.492	 -0.009	  0.077
          0.496	 -0.013	  0.077
          0.500	 -0.009	  0.076
          0.504	 -0.010	  0.077
          0.508	 -0.015	  0.081
          0.512	 -0.019	  0.081
          0.516	 -0.020	  0.083
          0.520	 -0.019	  0.087
          0.524	 -0.018	  0.090
          0.528	 -0.018	  0.092
          0.532	 -0.021	  0.095
          0.536	 -0.021	  0.102
          0.540	 -0.020	  0.104
          0.544	 -0.016	  0.106
          0.548	 -0.016	  0.106
          0.552	 -0.018	  0.106
          0.556	 -0.015	  0.106
          0.560	 -0.020	  0.109
          0.564	 -0.021	  0.107
          0.568	 -0.022	  0.107
          0.572	 -0.024	  0.109
          0.576	 -0.024	  0.101
          0.580	 -0.026	  0.102
          0.584	 -0.020	  0.101
          0.588	 -0.022	  0.101
          0.592	 -0.020	  0.099
          0.596	 -0.020	  0.096
          0.600	 -0.021	  0.098
          0.604	 -0.021	  0.095
          0.608	 -0.018	  0.095
          0.612	 -0.011	  0.090
          0.616	 -0.009	  0.086
          0.620	 -0.006	  0.079
          0.624	 -0.006	  0.071
          0.628	 -0.004	  0.069
          0.632	 -0.003	  0.061
          0.636	  0.004	  0.060
          0.640	  0.011	  0.055
          0.644	  0.018	  0.054
          0.648	  0.021	  0.051
          0.652	  0.022	  0.050
          0.656	  0.026	  0.050
          0.660	  0.026	  0.051
          0.664	  0.028	  0.058
          0.668	  0.022	  0.060
          0.672	  0.025	  0.064
          0.676	  0.026	  0.070
          0.680	  0.026	  0.077
          0.684	  0.022	  0.081
          0.688	  0.021	  0.086
          0.692	  0.020	  0.092
          0.696	  0.018	  0.096
          0.700	  0.016	  0.101
          0.704	  0.011	  0.102
          0.708	  0.009	  0.106
          0.712	  0.003	  0.107
          0.716	 -0.005	  0.110
          0.720	 -0.007	  0.110
          0.724	 -0.009	  0.114
          0.728	 -0.013	  0.111
          0.732	 -0.019	  0.109
          0.736	 -0.022	  0.105
          0.740	 -0.028	  0.104
          0.744	 -0.026	  0.104
          0.748	 -0.022	  0.100
          0.752	 -0.018	  0.096
          0.756	 -0.013	  0.094
          0.760	 -0.011	  0.091
          0.764	 -0.007	  0.092
          0.768	 -0.011	  0.091
          0.772	 -0.010	  0.091
          0.776	 -0.010	  0.091
          0.780	 -0.009	  0.091
          0.784	 -0.007	  0.089
          0.788	 -0.006	  0.089
          0.792	 -0.001	  0.089
          0.796	 -0.004	  0.089
          0.800	  0.004	  0.092
          0.804	  0.007	  0.101
          0.808	  0.010	  0.115
          0.812	  0.011	  0.120
          0.816	  0.011	  0.119
          0.820	  0.011	  0.102
          0.824	  0.009	  0.077
          0.828	  0.015	  0.041
          0.832	  0.020	 -0.003
          0.836	  0.030	 -0.050
          0.840	  0.037	 -0.106
          0.844	  0.050	 -0.165
          0.848	  0.060	 -0.215
          0.852	  0.072	 -0.260
          0.856	  0.095	 -0.285
          0.860	  0.120	 -0.292
          0.864	  0.159	 -0.296
          0.868	  0.193	 -0.296
          0.872	  0.230	 -0.291
          0.876	  0.249	 -0.256
          0.880	  0.266	 -0.206
          0.884	  0.286	 -0.145
          0.888	  0.306	 -0.086
          0.892	  0.335	 -0.034
          0.896	  0.324	  0.018
          0.900	  0.279	  0.050
          0.904	  0.189	  0.062
          0.908	  0.084	  0.069
          0.912	 -0.003	  0.071
          0.916	 -0.061	  0.074
          0.920	 -0.074	  0.077
          0.924	 -0.071	  0.079
          0.928	 -0.068	  0.083
          0.932	 -0.068	  0.081
          0.936	 -0.072	  0.084
          0.940	 -0.071	  0.083
          0.944	 -0.065	  0.085
          0.948	 -0.060	  0.084
          0.952	 -0.060	  0.086
          0.956	 -0.060	  0.086
          0.960	 -0.060	  0.087
          0.964	 -0.058	  0.091
          0.968	 -0.055	  0.090
          0.972	 -0.052	  0.089
          0.976	 -0.055	  0.085
          0.980	 -0.060	  0.085
          0.984	 -0.059	  0.084
          0.988	 -0.058	  0.084
          0.992	 -0.056	  0.085
          0.996	 -0.059	  0.085
          1.000	 -0.060	  0.084
